Rank,Title,Author,Rating,Reviews,Price,URL,Description,Publisher,Publication Date
,Fated to the Wolf Prince: A Fated Mates Wolf Shifter Paranormal Romance (The Hunted Omegas Book 1),April L.  Moon,4.4,,,https://www.amazon.com/Fated-Wolf-Prince-Shifter-Paranormal-ebook/dp/B0CB95LXNN/,Great Pack Gathering,,
,Crowned By The King-Sized Alpha,Olivia T. Turner,4.5,,,https://www.amazon.com/Crowned-King-Sized-Alpha-Olivia-Turner-ebook/dp/B0G3YLHSHZ/,,,
,The Primal of Blood and Bone: A Blood and Ash Novel,Jennifer L. Armentrout,4.0,,,https://www.amazon.com/Primal-Blood-Bone-Ash-Novel-ebook/dp/B0DLHZ6GXJ/,"In the shadows and flames, Primals will fall…And from the blood and ash, new gods will rise.",,
,Shift of the Wild (Shifter Lords Book 7),S.E.  Babin,4.8,,,https://www.amazon.com/Shift-Wild-Shifter-Lords-Book-ebook/dp/B0FPJYMSJL/,"When Mother Earth comes calling, you'd better answer the door…",,
,From Blood and Ash,Jennifer L. Armentrout,4.6,,,https://www.amazon.com/Blood-Ash-Jennifer-L-Armentrout-ebook/dp/B086JMSSVH/,,,
,A Shadow in the Ember (Flesh and Fire Book 1),Jennifer L.  Armentrout,4.7,,,https://www.amazon.com/Shadow-Ember-Flesh-Fire-Book-ebook/dp/B08Z2ZJSR3/,,,
,Reborn (Shadow Beast Shifters Book 3),Jaymin Eve,4.6,,,https://www.amazon.com/Reborn-Shadow-Beast-Shifters-Book-ebook/dp/B08RWMTPCR/,,,
,Promised in Blood (Broken Bloodlines Book 2),Sadie  Kincaid,4.4,,,https://www.amazon.com/Bound-Blood-Broken-Bloodlines-Book-ebook/dp/B0CQ8SR1DW/,,,
,Don't Feed the Vampire (Coastal Creatures Book 1),Grae Bryan,4.5,,,https://www.amazon.com/Dont-Feed-Vampire-Coastal-Creatures-ebook/dp/B0DQ45KFKR/,,,
,The Wolf Queen: A Fantasy Romance,Lauren Palphreyman,,,,https://www.amazon.com/Wolf-Queen-Fantasy-Romance-ebook/dp/B0GGBVWGB1/,,,
,Knot in Doubt: A Small Town Omegaverse Romance (Finding Home Book 1),Ember L.  Nicole,4.2,,,https://www.amazon.com/Promises-Omegaverse-Ember-L-Nicole-ebook/dp/B0FG87MSM2/,,,
,The Venom in our Vows: A Reverse Harem Fantasy Romance,Talia Shepstone,4.3,,,https://www.amazon.com/Venom-our-Vows-Reverse-Fantasy-ebook/dp/B0FV7W4WLD/,,,
,Primal: A Rejected Mate Omegaverse Romance (The Prey Drive Series Book 1),Kayleigh King,4.3,,,https://www.amazon.com/Primal-Rejected-Omegaverse-Romance-Drive-ebook/dp/B0DSZ57DKN/,,,
,Witch Fire: A why choose paranormal academy romance (Starfall Academy Book 1),Lyra  Mishon,4.4,,,https://www.amazon.com/Witch-Fire-paranormal-academy-Starfall-ebook/dp/B0FX4G5Z99/,,,
,Clash of Claws (Shifter Guardians Academy Book 1),Elizabeth Dear,4.7,,,https://www.amazon.com/Clash-Claws-Shifter-Guardians-Academy-ebook/dp/B0FNRMCTRC/,,,
,Crescent Kingdom (The Wolves of Crescent Creek Book 1),Tessa Hale,4.4,,,https://www.amazon.com/Crescent-Kingdom-Wolves-Creek-Book-ebook/dp/B0D852YJZ5/,,,
,Night Owl Bridge (A Story in the World of the Sea Wicche Book 2),Seana Kelly,4.7,,,https://www.amazon.com/Night-Bridge-Story-World-Wicche-ebook/dp/B0GQJ3JLX9/,,,
,A Kingdom of Flesh and Fire (Blood and Ash Book 2),Jennifer L. Armentrout,4.6,,,https://www.amazon.com/Kingdom-Flesh-Fire-Blood-Book-ebook/dp/B08BZ61HDF/,,,
